Rank,Region Name,State Name,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
33,"Indianapolis, IN",IN,39.768402,-86.158066,,,,128184.14,130657.08,137046.58,139671.58,141195.17,140223.00,136615.92,136376.08,130540.92,129803.17,132743.50,141006.75,144091.75,150211.75,159745.67,172069.75,183444.67,196434.92,227637.33,261840.33
34,"San Jose, CA",CA,37.338207,-121.886330,481621.83,580088.58,575236.58,591707.25,652726.33,778918.25,831177.00,833056.83,735949.58,620703.00,631971.83,596010.25,631040.75,760882.50,845803.17,941878.00,1015833.67,1096438.92,1312472.50,1224255.17,1259991.67,1429169.25,1645975.83
35,"Austin, TX",TX,30.267153,-97.743057,183547.92,189053.83,188633.58,188431.75,192468.75,199671.58,206040.58,214491.17,217640.00,210374.92,207888.17,201341.08,206413.50,223983.50,247078.58,267978.00,288495.17,303518.83,316396.33,330342.00,351232.17,470990.67,581060.17
36,"Virginia Beach, VA",VA,36.852924,-75.977982,125339.33,131335.50,139207.00,152508.67,176904.50,216835.25,251652.67,262646.50,256788.42,243095.92,234643.67,221605.17,215240.50,217589.42,221944.25,224726.42,226520.67,231939.83,237689.25,245074.08,256180.83,287735.58,317615.67
37,"Nashville, TN",TN,36.162663,-86.781601,146835.08,151527.25,155019.83,158464.00,163596.25,172985.50,185398.92,194756.00,193364.58,185261.92,180665.25,173119.08,171899.58,179599.50,190500.83,204390.67,225456.58,249271.25,271031.00,282930.08,298724.33,347965.75,428556.17
38,"Providence, RI",RI,36.311005,-94.127434,160962.92,178977.67,208550.50,249462.08,291455.75,325987.25,336768.33,320901.08,296795.25,264415.08,260426.08,246753.33,234501.42,244017.00,254445.67,259547.50,270860.08,288040.75,307721.92,317316.42,334649.83,392544.50,437549.50
39,"Milwaukee, WI",WI,43.038902,-87.906471,129155.50,136581.50,144932.00,156010.33,169310.58,183903.25,192345.33,193067.17,185763.50,172096.42,169188.92,153535.33,148132.25,150552.50,158360.00,162272.67,170051.58,179244.08,190995.92,199868.08,213925.50,245566.50,265262.33
40,"Jacksonville, FL",FL,30.332184,-81.655647,123224.17,132520.00,142642.33,154445.75,171136.92,196947.42,230183.25,234749.67,213860.75,184393.75,167620.42,147894.67,142435.83,154906.42,169783.67,177258.00,187524.17,202419.75,219023.75,230321.67,242235.17,286152.83,350764.67
41,"Memphis, TN",TN,35.149532,-90.048981,125590.92,128745.33,130917.00,133248.92,135966.67,140780.83,146167.25,148918.42,138221.91,128672.42,123731.92,117444.08,115188.17,115385.83,119595.83,123056.50,126727.67,134183.33,144103.00,155252.75,167719.50,194219.25,223262.17
42,"Oklahoma City, OK",OK,35.467560,-97.516426,93134.58,97444.83,101591.08,106281.75,111894.92,117617.17,123729.92,127672.50,129152.33,129680.83,131757.25,128736.50,128766.83,132304.83,136661.33,141033.75,144409.58,148413.75,151910.67,157104.75,166409.25,185726.83,209864.67
43,"Louisville-Jefferson County, KY",KY,38.259411,-85.678008,115354.25,123351.00,128389.08,132355.42,134353.83,139833.50,144483.42,146372.25,145266.75,142850.08,141295.75,135498.42,134159.83,135807.33,140891.42,144787.58,151208.67,160457.42,170806.83,178270.67,189901.25,213451.67,234822.00
44,"Hartford, CT",CT,41.765804,-72.673370,165959.50,178690.92,193864.75,214582.83,235585.25,261185.00,280120.58,282810.58,270370.83,254549.83,246915.25,233758.92,222065.58,226068.08,228388.17,224858.92,226201.92,231732.75,236660.92,238641.42,246756.50,283147.92,311706.00
45,"Richmond, VA",VA,37.540726,-77.436050,134569.50,140818.17,150014.50,162084.92,178586.50,202873.25,228375.25,238508.00,233284.00,219283.92,209931.50,196130.50,190867.50,197146.25,203453.33,207945.67,214696.83,226223.33,237557.83,248794.08,260549.75,292987.75,321952.17
46,"New Orleans, LA",LA,29.951065,-90.071533,125208.92,134287.25,141055.17,148977.25,157387.67,166715.92,185273.67,194282.25,190332.33,184653.92,180116.75,173621.00,170765.92,174681.83,180906.17,185601.08,192185.33,197599.58,200992.75,203444.50,214433.00,238441.08,262806.00
47,"Buffalo, NY",NY,42.886448,-78.878372,95441.25,96445.67,99653.17,103489.45,109968.92,114736.17,120526.58,123847.58,125823.17,127075.00,129100.92,127842.92,126910.00,130728.00,135784.58,138498.75,143583.75,153275.08,163685.33,173093.50,183482.58,215714.08,240133.00
48,"Raleigh, NC",NC,35.779591,-78.638176,179948.25,185162.17,188158.08,190930.17,195347.50,202736.42,214997.92,226960.17,227241.08,218416.75,214554.92,204445.75,200983.00,208301.33,217005.83,226617.67,238640.50,253882.17,267853.50,281343.67,293532.58,350200.83,436638.83
49,"Birmingham, AL",AL,33.518589,-86.810356,123459.50,128435.67,132928.08,138054.50,144542.75,153240.67,162972.33,168797.08,163929.58,153125.42,148902.33,142210.17,137516.75,140317.17,143043.33,146996.33,150999.33,156791.83,164233.83,173202.92,186277.42,210943.75,237644.67
50,"Salt Lake City, UT",UT,40.760780,-111.891045,192935.50,198604.92,200154.50,200309.08,202683.00,206191.17,230498.17,273498.58,276130.33,247833.17,233071.75,213789.83,216099.00,243439.17,258715.50,273049.50,294869.67,322229.42,351403.25,378918.33,406968.08,500347.00,593006.67
