Rank,Region Name,State Name,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2000,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2001,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2002,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2003,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2004,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2005,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2006,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2007,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2008,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2009,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2010,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2011,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2012,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2013,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2014,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2015,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2016,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2017,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2018,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2019,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2020,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2021,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022
23,"Portland, OR",OR,179703,180388,180845,181723,182197,182652,183106,183741,184138,184454,184670,185113,182727.5,185477,185814,186015,186421,186899,187560,188251,189106,189805,190510,191069,191806,188227.75,192352,192901,193427,194065,194879,195867,196949,197780,198375,198895,199588,200352,196285.8333,200980,201511,202077,202862,203785,204839,206136,207512,208807,210022,211213,212379,206010.25,213122,213940,214817,216223,217844,219853,222109,224564,226595,228640,230352,232270,221694.0833,233552,235161,237302,240848,244956,249826,255041,260871,266744,271339,275269,279688,254216.4167,284244,287913,290876,294782,299720,305963,310502,314491,315430,316289,316494,317352,304504.6667,318115,318803,319788,321683,324035,325407,326202,326221,326331,325718,324436,322683,323285.1667,320153,318774,316977,315420,312732,310203,307844,304903,301795,298494,295534,291866,307891.25,289044,285826,283179,279996,277368,274504,271797,269941,268956,268446,267877,267501,275369.5833,266563,265758,265886,266565,266183,264675,262464,260099,257237,254612,252379,250420,261070.0833,248428,246287,243574,240919,238680,237737,237332,236890,235725,234334,232627,231196,238644.0833,229946,229519,230563,232357,234618,236081,237377,239051,240732,242688,244013,246284,236935.75,249136,253246,256835,260299,263441,266197,268878,270899,273402,275181,277531,279728,266231.0833,282155,284003,285234,286820,287913,289885,291374,292990,294334,296119,298109,300117,290754.4167,302331,304875,307318,308982,311086,313708,316541,319708,322746,326260,329843,333669,316422.25,337480,340533,343870,347536,351566,355150,358927,361556,364433,366607,369024,372157,355736.5833,375521,379472,382150,384816,386431,387343,387929,388809,390019,391311,393552,396248,386966.75,398941,402148,405273,406953,407723,408377,409682,410407,410653,411151,412585,414645,408211.5,416899,418192,418285,418004,417333,416642,415638,415345,415690,417539,419623,421600,417565.8333,423813,425624,428266,429309,430444,431593,433428,436821,441927,448307,455327,460669,437127.3333,465470,470451,477633,485997,495102,504996,515378,523956,530221,534527,539158,544062,507245.9167,550778,559252,569334,579682,587444,588722,572535.3333
24,"Charlotte, NC",NC,149674,150006,150380,151061,151751,152341,152924,153464,154010,154546,155144,155719,152585,156377,156872,157333,157637,157952,158212,158420,158720,159076,159457,159742,159934,158311,160173,160378,160618,160793,160883,160981,161059,161221,161380,161564,161682,161824,161046.3333,161910,162125,162313,162470,162607,162703,162882,163064,163255,163499,163738,164030,162883,164288,164505,164690,164869,165072,165402,165722,165998,166213,166436,166709,166913,165568.0833,167155,167487,167917,168333,168660,169148,169676,170287,170821,171435,172065,172675,169638.25,173179,173654,174086,174762,175568,176574,177563,178562,179418,180121,180741,181402,177135.8333,182015,182477,183201,184199,185367,186390,187389,188306,188993,189235,189434,189424,186369.1667,189689,189683,189785,189493,189279,188641,187792,186858,186081,185479,184343,182664,187482.25,180501,179270,178747,178315,177310,176138,175264,174334,173550,172921,172805,172684,175986.5833,172569,172044,171283,170795,170546,170091,169167,168087,166893,165758,164331,163239,168733.5833,162069,161195,160246,159292,158264,157423,156710,155989,155189,154375,153554,153250,157296.3333,152978,153097,153167,153610,153837,153829,153775,153937,154144,154381,154527,154433,153809.5833,154587,154708,155670,156580,157925,159158,160565,161735,162574,163360,164077,165170,159675.75,166170,167576,168616,169285,169558,169645,169591,169485,169544,169798,170200,170733,169183.4167,171472,172499,173811,175062,175841,176540,177481,178881,180032,180960,181749,182271,177216.5833,182970,183707,184478,185463,186664,188209,189536,190554,191742,193036,194719,196483,188963.4167,198249,199444,200676,201725,202884,203889,204720,206060,207480,209419,211131,212878,204879.5833,214549,216221,217578,218746,220010,221492,223268,224837,226436,227464,228949,230330,222490,232115,233034,233745,234328,235110,235879,236520,237336,238400,240076,241858,243593,236832.8333,244726,246206,247214,248559,249834,251587,253567,255874,258556,261572,264207,267245,254095.5833,271066,275199,279571,284073,289724,296977,304911,312834,320138,326496,333063,339176,302769,346174,353730,362230,371576,379777,386038,366587.5
25,"Sacramento, CA",CA,174012,174673,175506,177049,178739,180227,182131,184114,186505,188923,191770,194590,182353.25,197256,199907,202772,206368,210126,214312,218021,221193,223746,226039,228217,230535,214874.3333,232176,233912,235472,237777,240305,243168,246376,250384,254373,258468,262485,266374,246772.5,269787,272817,276212,280588,284737,288858,292098,295700,298883,302779,305988,309628,289839.5833,312968,316986,321159,324867,330065,336238,344799,352923,360933,368090,375357,381824,343850.75,388583,395062,401207,407839,414179,421346,427182,432502,437595,441890,445571,449058,421834.5,451389,453140,453293,453859,453166,452655,450494,447896,443244,436843,431410,425363,446062.6667,421176,417913,415994,414048,409986,404930,399191,393854,388883,382548,374796,368971,399357.5,361789,354829,344221,335301,326525,318524,311525,305145,297685,292597,287546,285043,318394.1667,280964,276667,272971,270511,267985,265775,261663,258502,255898,254438,253969,252288,264302.5833,251842,251190,251691,250968,250881,250263,249673,247725,244148,241356,239634,239651,247418.5,238575,236377,233776,231184,228264,225000,222552,221007,220428,218835,217611,215987,225799.6667,215614,215268,216037,216857,218010,218496,219615,221342,224249,227801,231160,234880,221610.75,239452,245125,251569,258025,265752,273572,281249,286921,292723,297852,303282,307701,275268.5833,311137,313739,315215,315904,315745,315669,312494,311252,310780,313616,315780,315744,313922.9167,317064,318666,321474,323828,325411,326483,326160,326323,327379,330451,333232,336750,326101.75,340126,342727,345163,347177,349999,351982,353205,354531,356393,358936,361844,364068,352179.25,367661,371118,374405,376188,378353,381758,384254,385542,386712,389264,392454,396061,381980.8333,398967,402661,405461,408131,409782,411175,412022,412334,412304,412599,413550,415167,409512.75,416641,417185,417434,419054,421184,422593,422680,422543,423521,424608,427093,429696,422019.3333,432489,435302,438490,441212,440944,439514,440927,445450,452641,460550,468266,475615,447616.6667,480952,488198,494757,504011,514036,527167,542619,556526,567417,571272,574261,577910,533260.5,585862,594951,604855,613939,622095,626326,608004.6667
26,"San Antonio, TX",TX,131456,131664,131788,132030,131025,129986,128890,128969,129009,129040,128982,128930,130147.4167,128835,128650,128422,128190,128033,127931,127863,127862,127744,127653,127465,127372,128001.6667,127336,127486,127814,128316,128756,129165,129495,129969,130431,130874,131425,131818,129407.0833,132055,132024,132011,132196,132559,133049,133509,133975,134404,134664,134611,134762,133318.25,135895,,139690,141355,142276,143509,144304,144890,146003,146693,147763,148158,143685.0909,148659,149231,149871,150578,151116,151521,151749,152001,152409,153147,153629,154094,151500.4167,154396,154986,155592,156221,156999,157978,159124,160112,161234,162372,163695,165066,158981.25,165984,166322,166339,166615,167682,168862,170102,170983,171709,172425,173036,173690,169479.0833,173480,173129,172724,172899,173046,172903,172554,171708,170892,170160,169840,169414,171895.75,168884,168196,167872,167578,167335,166738,166131,165174,164568,164180,164352,164363,166280.9167,164469,164565,164949,165280,165668,165588,165479,165415,165215,164569,163399,162427,164751.9167,161848,161321,161254,160812,160442,159493,158972,158540,158398,158173,158200,157885,159611.5,157738,157872,158685,159541,160263,160784,160933,160967,160602,160659,161029,161734,160067.25,162735,163538,164142,164401,164621,165388,166284,167488,168539,169502,170060,170609,166442.25,171392,172547,173543,174408,175406,176319,177077,177300,177629,178193,179204,180399,176118.0833,181446,182898,184062,185269,185780,186765,187830,189363,190336,191304,191782,192844,187473.25,194057,194901,195754,196911,198408,199547,199995,200440,200946,201396,202253,203593,199016.75,205744,207780,209038,209550,209855,210599,211569,212752,213709,214833,215883,216574,211490.5,216808,217111,218250,219476,220726,221673,222688,223618,224046,224807,225333,226822,221779.8333,227988,229623,230369,231238,231792,232447,233102,233782,234948,235668,236433,236307,232808.0833,236768,236816,237603,237722,238014,238241,239341,240917,243242,245874,248301,250414,241104.4167,252555,255395,258348,262275,267099,273625,279828,286248,290868,295573,299968,305357,277261.5833,310978,316208,322581,329085,335035,339099,325497.6667
27,"Orlando, FL",FL,124012,124471,124948,125770,126492,127174,127853,128594,129388,130283,131125,131912,127668.5,132625,133318,134039,134846,135754,136635,137465,138338,139179,140128,141024,141877,137102.3333,142687,143465,144361,145211,146107,147037,147926,148864,149705,150695,151613,152491,147513.5,153324,154227,155323,156448,157561,158611,159662,160758,161791,162932,164171,165527,159194.5833,166849,168200,169470,170972,172760,,177618,,183309,186119,188547,191048,177489.2,193777,196868,200795,205619,211071,217198,223626,230260,236254,241404,246776,252410,221338.1667,257911,262746,267623,272805,277548,281125,283417,284495,284297,284142,283260,282605,276831.1667,280588,279484,278327,278231,277775,276482,274056,271039,268053,264396,260927,256489,272153.9167,252873,247500,242553,236977,231230,225962,221192,216981,212894,208218,202480,196302,224596.8333,189545,184504,180755,177141,174018,170155,167558,164582,161723,158937,157466,156768,170262.6667,155541,154265,152999,152358,151494,150538,149439,148177,146638,145410,143781,141980,149385,140254,138702,137058,135333,133904,132995,132054,131533,130987,130753,130477,130559,133717.4167,131034,131543,131942,132293,132839,133858,135155,136547,138211,139926,141568,142985,135658.4167,144544,146623,148863,150863,153015,155208,157738,160457,163675,166531,168639,170275,157202.5833,171989,173855,175428,176750,177459,178078,178575,179183,179531,180166,180963,181960,177828.0833,182947,184050,184553,185100,185593,186343,187053,188215,189695,191103,192018,193665,187527.9167,195532,197671,199128,200302,201380,202590,203498,204733,205847,207359,208350,209305,202974.5833,210842,212691,214202,215969,217593,219604,220776,221962,223450,224667,226276,228110,219678.5,229346,230334,231486,233722,235950,237694,239350,241100,242905,244620,245767,247095,238280.75,248683,250261,251306,251568,252086,252633,253193,253398,253911,254351,255388,256250,252752.3333,257784,259010,260585,262422,264257,265240,265873,266872,268262,270274,272801,275274,265721.1667,277944,279817,282352,285159,289472,295650,303433,311215,318663,325274,333044,339945,303497.3333,347209,354747,364453,375528,386060,394922,370486.5
28,"Cincinnati, OH",OH,130585,130570,130496,130990,131670,132713,133266,133887,134373,134949,135401,135848,132895.6667,136267,136732,137209,137747,138241,138651,139031,139439,139934,140375,140745,141079,138787.5,141431,141872,142319,142765,143162,143601,144057,144517,144912,145290,145720,146142,143815.6667,146551,147002,147542,148056,148501,148882,149396,149916,150404,150795,151175,151594,149151.1667,152045,152519,153015,153506,153925,154294,154654,155001,155349,155649,155990,156338,154357.0833,156748,157201,157695,158146,158557,158970,159389,159854,160287,160674,161058,161398,159164.75,161814,162225,162689,163050,163348,163590,163917,164128,164246,164188,164061,163835,163424.25,163697,163693,163679,163510,163287,163097,162898,162696,162426,162134,161687,161329,162844.4167,160864,160615,160388,160103,159843,159485,159366,158701,157852,,155460,154172,158804.4545,152394,150143,148971,148762,148950,148747,148880,148882,148859,148726,148941,149104,149279.9167,149267,149740,150025,150488,150714,150896,150295,149429,148523,147739,146527,145177,149068.3333,144010,143110,142354,141547,140716,140086,139673,139308,138738,138162,137711,137512,140243.9167,137181,136926,136771,136779,136871,136751,136713,136839,137093,136949,136687,136484,136837,136717,136892,137367,138012,138944,139748,140379,140762,141023,141504,141927,142310,139632.0833,141934,142032,141863,142209,142323,142717,142952,142971,143048,143161,143496,143817,142710.25,144460,144993,145589,146179,146782,147350,147757,148365,148995,149535,149938,150226,147514.0833,150721,151074,151515,151859,152520,153333,154229,155044,155664,156511,157477,158668,154051.25,159623,160646,161749,163000,164048,164837,165394,166079,166847,167676,168215,168735,164737.4167,169099,169579,170401,171761,173696,175310,176505,177136,177594,178138,178769,179584,174797.6667,180962,182486,183852,184475,184712,185000,185543,186173,187108,187716,188246,188701,185414.5,189565,190387,191572,192763,194409,195954,197373,199121,201024,203652,206667,209523,197667.5,212268,215215,218302,221361,223761,226535,230141,233672,236908,238979,240936,243078,228429.6667,245600,248665,251968,255713,259467,262158,253928.5
29,"Cleveland, OH",OH,129205,129553,129847,130413,131199,131960,132733,133195,133686,134128,134613,135123,132137.9167,135654,136097,136503,136964,137405,137792,138117,138496,138807,139061,139317,139661,137822.8333,140092,140465,140719,140880,141039,141287,141576,141879,142192,142512,142815,143138,141549.5,143431,143732,143984,144348,144807,145380,145936,146619,147252,147872,148336,148814,145875.9167,149238,149677,150139,150600,151013,151397,151766,152063,152330,152623,153011,153426,151440.25,153813,154273,154677,155130,155464,155864,156257,156686,157055,157398,157718,158018,156029.4167,158204,158422,158670,158979,159155,159226,159151,158975,158718,158559,158200,157651,158659.1667,156978,156527,155893,155527,155368,155312,154817,154076,153751,153326,152426,151398,154616.5833,150565,149905,149627,149320,148821,147983,147158,146675,145815,144753,143567,142411,147216.6667,141098,139916,138943,138622,138666,138731,138443,137890,137478,137208,136708,136081,138315.3333,135329,135065,134890,135242,135188,134916,134120,133649,133131,132365,131390,130287,133797.6667,129349,128330,127660,127019,126377,125571,124956,124512,123962,123415,122701,122281,125511.0833,121806,121407,121010,120752,120692,120622,120659,120747,120981,121141,121228,121265,121025.8333,121540,122222,122580,122789,122962,123619,124309,124688,124766,124896,124883,124761,123667.9167,124246,123330,122993,122761,123163,123516,123938,123960,123752,123634,123788,124166,123603.9167,124675,125588,126269,126868,127326,127904,128366,128556,128583,128646,128964,129345,127590.8333,129714,130021,130433,130916,131389,131838,132398,132978,133620,134150,134922,135765,132345.3333,136516,137077,137904,139159,140358,141027,141304,141652,142313,143136,143798,144244,140707.3333,144830,146270,147603,148657,148824,149155,149633,150038,150616,151096,151991,152832,149295.4167,153823,154374,155043,155392,156299,156737,157511,157950,158359,158607,158763,159409,156855.5833,160453,161544,162401,163312,164042,164891,165950,168057,170455,172886,174842,176519,167112.6667,178294,180172,182559,184941,188521,192459,196209,198582,200430,201720,203124,204605,192634.6667,206357,208753,211062,214349,217064,219635,212870
30,"Kansas City, MO",MO,117340,117570,117893,118472,119199,119833,120467,121058,121580,122222,122821,123564,120168.25,124264,125104,126016,126829,127563,128268,129011,129738,130423,131160,131893,132578,128570.5833,133187,133749,134291,134803,135257,135765,136263,136749,137254,137899,138432,138884,136044.4167,139197,139727,140260,140753,141238,141685,142191,142696,143193,143657,144125,144616,141944.8333,145093,145450,145758,146047,146401,146857,147244,147564,147852,148276,148652,148970,147013.6667,149371,149752,150167,150486,150937,151351,151885,152477,153279,153803,154140,154565,151851.0833,155079,155634,155949,156324,156522,156724,156990,157561,158106,158610,159042,159438,157164.9167,159751,159948,160204,160447,160770,160750,160774,160833,161010,161067,160874,160543,160580.9167,160161,159838,159753,159785,159738,159525,159035,158668,158247,157964,157136,156395,158853.75,155661,155308,154940,154680,154479,154293,153985,153817,153637,153520,153704,153799,154318.5833,153476,152993,153204,153829,154247,154077,153427,152413,151134,150070,148918,148076,152155.3333,147445,147098,146237,145148,144072,143282,142871,142307,141890,140935,140298,139557,143428.3333,139320,139055,139181,139481,139972,140340,140637,140764,140899,141075,141402,141816,140328.5,142129,142373,142943,143568,144512,145476,146364,146689,146745,146840,147296,147674,145217.4167,148203,148331,148518,148917,149775,150645,151265,151781,152171,152497,152999,153303,150700.4167,153575,153709,154375,155267,156281,157263,158131,158744,159280,160012,160667,161238,157378.5,161504,162221,163152,164290,165426,166484,167554,168638,169627,170643,171621,172651,166984.25,173805,175089,176393,177628,178652,179433,180285,181063,182346,183647,185230,186754,180027.0833,188515,190190,191532,192786,193885,194958,195765,196832,197954,198905,199771,200980,195172.75,202129,203258,203866,204387,204530,204768,205159,205690,206310,206980,207547,208248,205239.3333,209174,210560,212047,213164,213891,214629,215973,218166,220641,223370,225955,228700,217189.1667,231275,234999,238887,243362,246801,250186,253186,256041,258561,261431,263840,267085,250471.1667,270522,275357,279336,282802,285319,287524,280143.3333
31,"Las Vegas, NV",NV,167792,167771,168119,168847,169652,170334,170835,171494,172231,172972,173734,174473,170687.8333,175262,176187,177163,178098,179093,180042,181137,182278,183370,184393,185201,186171,180699.5833,187029,187757,188663,189681,190818,191564,192290,193044,193670,194595,195666,196969,191812.1667,198203,199460,200810,202128,203742,205288,207160,209160,211627,214217,217538,220829,207513.5,224704,228306,,240403,248537,256624,268318,278210,289997,297233,304148,308251,267702.8182,312068,318805,324856,334175,338479,341952,342976,346067,347911,349082,349449,349850,337972.5,350709,350902,353664,356807,360433,361377,361648,360878,360309,358961,357182,356180,357420.8333,354717,354060,353082,351108,348643,345234,341146,337322,332774,328835,321556,314082,340213.25,304266,294323,284547,277242,271456,263998,256094,247861,239477,231695,222650,215463,259089.3333,207763,202910,197610,192091,184730,177483,170364,165329,161546,159502,157939,156174,177786.75,155593,154797,154000,152500,151139,150886,150316,149650,148348,147423,147218,146555,150702.0833,144850,142593,140459,138600,137625,135952,135027,133062,132348,131589,131087,130516,136142.3333,130388,130128,129724,129374,129638,131122,132687,134832,136603,138479,140574,142813,133863.5,145578,148612,152531,155692,159708,164187,169737,174369,178594,182170,185314,187279,166980.9167,189189,191183,192547,193186,193240,193679,194671,195327,194982,195688,196377,198535,194050.3333,199560,200906,201471,202547,204236,205846,206461,207246,208636,209564,209829,210335,205553.0833,211658,213362,214153,215679,216844,219055,220979,222464,223750,223574,224203,222520,219020.0833,222317,222389,225320,227996,230731,234148,237962,240921,244190,248008,252453,256576,236917.5833,259258,262712,264515,267326,269665,273578,277094,280934,283587,285422,286354,288225,274889.1667,289997,291840,292226,293422,293896,293848,292376,290909,289674,289865,291286,292753,291841,294284,295436,297804,300405,300708,298935,298014,300236,304612,308183,311468,314876,302080.0833,318410,321777,325574,330103,338631,349764,361521,370658,378300,385346,392754,399311,356012.4167,409107,419338,431141,439928,448264,453682,433576.6667
32,"Columbus, OH",OH,135788,135973,136236,136717,137222,137695,138235,138884,139507,140081,140555,141039,138161,141236,141377,141803,142468,143226,143655,144154,144723,145325,145991,146519,146981,143954.8333,147251,147591,147976,148473,148920,149373,149834,150281,150762,151260,151829,152404,149662.8333,152951,153469,153960,154439,154914,155417,156022,156635,157267,157740,158036,158270,155760,158537,158926,159098,159432,159899,160588,161132,161622,162154,162680,163156,163542,160897.1667,163985,164516,165070,165514,165802,166103,166449,166789,167186,167477,167853,168197,166245.0833,168389,168525,168448,168705,168982,169427,169704,169836,169788,169617,169400,168931,169146,168629,168283,168100,167903,167688,167531,167221,167028,166820,166740,166447,166040,167369.1667,165126,164370,163778,163421,163233,163156,163014,162668,162176,161636,160972,160277,162818.9167,159467,158633,157554,156772,156219,155839,155414,154867,154582,154538,154302,154017,156017,153905,154303,154683,154736,154652,154590,154309,153779,152817,151954,151204,150710,153470.1667,150239,149507,148844,148224,147782,147087,146493,145888,145425,144681,144049,143422,146803.4167,142584,141801,141159,140753,140104,139666,139469,139629,139683,139811,139612,139141,140284.3333,138716,138598,139408,140624,142143,143644,144983,146118,146807,147489,148410,149276,143851.3333,150253,150933,151499,151882,152526,153182,153774,153833,153841,153677,154035,154730,152847.0833,155794,157016,158343,159394,160287,160975,161897,162577,163239,163635,164156,164685,160999.8333,165455,166151,167157,168435,169406,170057,170453,171225,171883,172386,172821,173414,169903.5833,174635,176418,178174,179642,180841,182177,183329,184508,185631,187081,188687,190341,182622,190909,190882,191539,193306,195778,197561,199099,200162,200962,201967,202914,203954,197419.4167,205198,206745,208324,209417,210585,211469,212054,212377,213085,214087,214869,215993,211183.5833,217552,219376,220749,221969,223077,224163,225231,226880,228950,231365,234399,237713,225952,241076,243883,246841,249796,253533,257512,261566,264733,267518,270384,273526,276772,258928.3333,280086,283986,288008,292507,295996,299368,289991.8333
33,"Indianapolis, IN",IN,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,,,,,,127653,127710,127856,127816,128215,128689,129350,128184.1429,129416,129443,129530,129854,130131,130424,130587,130892,131036,131635,132125,132812,130657.0833,133719,134722,135817,136439,136922,137348,137623,137927,137929,138287,138645,139181,137046.5833,139114,139029,138835,139009,139110,139394,139520,139752,139865,140316,140742,141373,139671.5833,141468,141599,141528,141758,141595,141463,141151,140964,140486,140304,140676,141350,141195.1667,141605,141440,141106,140938,140835,140926,140714,140301,139584,139108,138469,137650,140223,136999,136474,136387,136309,136473,136675,136731,136697,136691,136543,136625,136787,136615.9167,136934,137316,137619,138069,138071,138061,137507,136758,135368,134437,133430,132943,136376.0833,132443,132022,131670,131311,130661,129998,129633,129846,130105,130061,129619,129122,130540.9167,128533,128409,128773,129567,130397,130732,130801,130577,130316,130286,129746,129501,129803.1667,129212,129699,130179,131302,132230,133024,133313,133762,134290,134717,135254,135940,132743.5,136914,138085,139403,140485,141154,141585,141970,142246,142323,142376,142636,142904,141006.75,142875,142830,142761,143238,143674,144176,144277,144356,144627,144912,145447,145928,144091.75,146589,147077,147200,147371,147774,148917,150393,151870,153085,153848,154184,154233,150211.75,154289,154812,155838,157250,158655,159819,160616,161474,162085,163106,164048,164956,159745.6667,165570,166164,167379,168872,170279,171664,173091,174463,175454,176114,177164,178623,172069.75,180291,181045,181386,181366,182073,182595,183231,183734,184866,185962,187058,187729,183444.6667,188746,189960,191175,192188,193027,194059,195751,197766,200111,202256,204734,207446,196434.9167,210219,213247,216308,219038,221935,225084,228834,232134,235332,238890,243089,247538,227637.3333,252222,256871,260369,264000,267064,270516,261840.3333
34,"San Jose, CA",CA,434391,436998,440726,451363,461553,473641,482975,495355,507231,519415,532167,543647,481621.8333,555526,565757,576296,584937,590958,592079,591301,589479,587626,583198,575680,568226,580088.5833,562083,561630,563337,567067,571246,575368,579805,581320,582321,583680,586858,588124,575236.5833,589804,591959,593097,593060,589816,588459,586992,587346,590111,592315,595950,601578,591707.25,609766,616824,622141,629454,638418,648219,656151,663778,670723,679828,691646,705768,652726.3333,718939,731437,746519,758522,771063,778207,789661,797692,806771,811493,815095,821620,778918.25,827948,833580,829494,828314,828584,832065,833224,829152,831145,830887,833317,836414,831177,836929,839160,840005,841661,841505,837271,835277,834094,832162,826430,820174,812014,833056.8333,802596,788412,774168,765164,757673,747520,734054,721655,706572,694587,673762,665232,735949.5833,646015,641283,625292,620865,614307,614830,614096,610303,607773,609912,619907,623853,620703,629718,630604,644034,646580,648186,638761,630715,627397,627029,626362,620769,613507,631971.8333,611021,606002,604434,601063,595612,597268,596108,599050,590328,583107,584129,584001,596010.25,585666,588060,595574,606317,615727,625383,635390,643153,650923,662011,674405,689880,631040.75,705999,718861,731529,740688,753497,765265,773498,778275,780914,789331,790941,801792,760882.5,813755,832719,840378,840261,835155,831206,835565,842337,854613,863692,876327,883630,845803.1667,889698,895203,907713,913192,930872,939112,950984,955624,965646,976778,984466,993248,941878,1003555,1010856,1015487,1022485,1017088,1015745,1006248,1011365,1011181,1019044,1024396,1032554,1015833.667,1039633,1049765,1054561,1060526,1064267,1072722,1081183,1096688,1120665,1146793,1172482,1197982,1096438.917,1224887,1254546,1280941,1300570,1323554,1342487,1363093,1358279,1347745,1331506,1320624,1301438,1312472.5,1278291,1257777,1242925,1236862,1229939,1218911,1207580,1198818,1202898,1202533,1206234,1208294,1224255.167,1223627,1239020,1259376,1264636,1247217,1230840,1226214,1251558,1271608,1289338,1302533,1313933,1259991.667,1322715,1324732,1328114,1344084,1382885,1430619,1468242,1489376,1495619,1504507,1519156,1539982,1429169.25,1568421,1606876,1646124,1682233,1692646,1679555,1645975.833
