SizeRank,RegionName,StateName,2000,Median_Income,2001,Median_Income,2002,Median_Income,2003,Median_Income,2004,Median_Income,2005,Median_Income,2006,Median_Income,2007,Median_Income,2008,Median_Income,2009,Median_Income,2010,Median_Income,2011,Median_Income,2012,Median_Income,2013,Median_Income,2014,Median_Income,2015,Median_Income,2016,Median_Income,2017,Median_Income,2018,Median_Income,2019,Median_Income,2020,Median_Income
20,Minnesota,MN,142719.08,54251.00,161917.42,52681.00,178937.33,54622.00,194384.17,52823.00,209862.67,56104.00,224472.25,54215.00,230919.67,56211.00,227096.08,58058.00,210599.33,54925.00,191948.08,56090.00,186363.33,52321.00,170751.42,57820.00,167876.00,61795.00,182580.75,60907.00,196782.75,67244.00,203690.42,68730.00,215400.33,70218.00,229685.75,71920.00,245382.33,71920.00,257142.50,81426.00,269753.75,78461.00
30,Mississippi,MS,85235.33,34299.00,89611.25,30161.00,92161.08,30882.00,94940.92,32728.00,98112.33,34755.00,103601.33,32875.00,112064.50,34733.00,118050.58,37279.00,116635.00,36446.00,112711.08,35078.00,109721.83,38160.00,107349.75,41090.00,106158.42,36641.00,105386.33,40850.00,106407.42,35521.00,110859.67,40037.00,113634.08,41099.00,117099.42,43441.00,121318.17,43441.00,126346.17,44787.00,130949.42,44966.00
17,Missouri,MO,103562.08,45097.00,110852.17,41339.00,118373.67,42776.00,125719.83,43762.00,132588.08,42137.00,139135.08,42986.00,144899.75,44579.00,146971.58,46005.00,143741.75,46038.00,137901.50,48769.00,134729.42,45817.00,126809.00,45774.00,123931.58,49764.00,126695.17,50311.00,130582.17,56630.00,134944.75,59196.00,141375.17,55016.00,149654.42,56885.00,158645.83,56885.00,166635.67,60597.00,175134.17,61901.00
43,Montana,MT,,32777.00,,32126.00,,34835.00,,34108.00,,33956.00,187845.27,37313.00,203764.75,41105.00,216148.00,43655.00,220297.33,42900.00,216098.83,40437.00,209666.75,41280.00,202895.83,40277.00,205341.75,45088.00,214591.92,44132.00,225155.25,51102.00,234738.17,51395.00,242321.17,57075.00,253757.50,59087.00,268141.92,59087.00,283306.92,60195.00,300301.42,56442.00
37,Nebraska,NE,118929.25,41750.00,113272.83,43611.00,113904.50,42796.00,118823.42,43974.00,124865.75,43786.00,130034.92,47923.00,134062.42,48145.00,135131.42,49174.00,131684.25,50728.00,129900.83,49595.00,131288.67,52504.00,127302.58,55616.00,127598.42,52196.00,133072.33,53774.00,137189.25,56870.00,143610.50,60474.00,150250.17,59374.00,160456.00,59619.00,171270.75,59619.00,180590.83,73071.00,189613.42,72024.00
34,Nevada,NV,167406.08,45758.00,176802.25,45403.00,188103.42,44958.00,204747.25,45184.00,263106.45,47204.00,333338.83,48209.00,353784.42,52282.00,334647.58,54058.00,259145.17,54744.00,183827.08,51434.00,157244.33,51200.00,141608.17,47043.00,139204.50,47333.00,172059.00,45369.00,199759.83,49875.00,214371.33,52008.00,230417.42,55431.00,249321.67,56550.00,286444.42,56550.00,303540.50,70906.00,314986.75,60956.00
41,New Hampshire,NH,147343.17,50926.00,168828.17,51331.00,191303.50,55321.00,217110.42,55567.00,241538.08,56815.00,265181.25,56984.00,274325.08,61970.00,266328.50,67576.00,250725.67,66176.00,232624.25,64131.00,225753.83,66633.00,218613.75,65880.00,213424.67,67819.00,220932.17,71322.00,229723.42,73397.00,238270.75,75675.00,247305.58,76260.00,262376.92,74801.00,279451.08,74801.00,291649.92,86900.00,310602.92,88235.00
10,New Jersey,NJ,193474.17,50405.00,213905.75,51771.00,240954.08,54568.00,278151.75,56045.00,316605.75,55275.00,363194.17,63368.00,399062.83,68059.00,394057.75,60508.00,369847.75,65306.00,338827.42,64777.00,326745.83,62968.00,305741.75,62338.00,289680.58,66692.00,293956.17,61782.00,305611.33,65243.00,307914.33,68357.00,310401.17,68468.00,318810.42,72997.00,332765.25,72997.00,340583.75,87726.00,354035.67,85239.00
35,New Mexico,NM,,35093.00,,33124.00,139290.89,35457.00,142932.75,35105.00,150704.08,39562.00,161819.75,38947.00,183561.08,40028.00,197701.33,44356.00,195850.75,42102.00,185889.75,43542.00,179679.42,45134.00,169593.67,41982.00,165923.17,43424.00,168139.25,42127.00,172554.92,46686.00,174087.33,45119.00,178259.67,48451.00,184282.08,47855.00,191673.67,47855.00,202535.83,53113.00,216369.58,50822.00
2,New York,NY,155873.33,40744.00,168666.00,42114.00,183997.33,41966.00,203462.83,42788.00,225102.25,44649.00,250789.17,47176.00,272224.58,48222.00,276864.50,48944.00,273134.75,50461.00,258844.25,50216.00,254776.92,49781.00,248178.17,50636.00,243598.92,47680.00,248124.92,53843.00,255865.58,54310.00,261299.50,58005.00,268919.00,61437.00,281231.00,62447.00,297204.67,62447.00,309581.33,71855.00,320105.42,68304.00
9,North Carolina,NC,137401.33,38317.00,142788.25,38162.00,145845.42,36515.00,148639.25,37279.00,152554.00,40238.00,158877.25,42056.00,168553.58,39797.00,176950.75,43513.00,178163.00,42930.00,170846.92,41906.00,164942.75,43830.00,157296.58,45206.00,153133.67,41553.00,155602.33,41208.00,160501.33,46784.00,165376.33,50797.00,172381.92,53764.00,182703.92,50343.00,194792.42,50343.00,206379.58,61159.00,218711.58,60266.00
47,North Dakota,ND,,35996.00,,35793.00,,36200.00,,40410.00,,39220.00,,42192.00,,41047.00,,47205.00,,49631.00,167975.50,50075.00,168544.92,51006.00,170622.17,56361.00,176634.17,55766.00,194011.50,52888.00,208682.33,60730.00,222575.67,57415.00,229435.67,60184.00,231290.83,59886.00,232211.00,59886.00,234315.83,70031.00,238326.50,63657.00
6,Ohio,OH,113323.08,42962.00,118341.83,41785.00,122199.67,42684.00,126495.25,43520.00,131054.17,43055.00,135157.50,44203.00,137625.50,45900.00,136271.25,49099.00,131794.50,46934.00,125184.00,45879.00,121995.00,45886.00,115976.50,44648.00,112818.92,44375.00,114566.33,46398.00,117160.17,49644.00,121491.67,53301.00,126831.17,53985.00,134556.67,59768.00,143435.08,59768.00,151973.58,64663.00,161732.75,60110.00
27,Oklahoma,OK,81179.08,32432.00,85268.75,35609.00,88466.92,36458.00,91570.42,35902.00,94853.83,39614.00,98887.08,37645.00,103384.42,38838.00,106851.33,43216.00,108215.83,46111.00,107951.58,45878.00,108858.50,43103.00,106100.33,48455.00,106129.08,48407.00,108519.08,43777.00,111665.25,47199.00,115688.83,47077.00,118851.50,50943.00,122949.58,55006.00,126860.83,55006.00,131472.08,59397.00,139120.17,52341.00
26,Oregon,OR,164983.25,42499.00,171096.92,41273.00,178406.33,41802.00,187855.83,41638.00,203150.17,40994.00,232804.33,44159.00,276281.67,47091.00,294814.58,50236.00,282115.67,51727.00,253967.67,49098.00,239057.83,50602.00,219014.17,51526.00,215687.25,51775.00,236969.42,56307.00,257670.00,58875.00,277686.00,60834.00,307654.25,59135.00,335245.92,64610.00,357260.92,64610.00,370676.67,74413.00,389884.00,76554.00
5,Pennsylvania,PA,108924.00,42176.00,114737.42,43499.00,121856.92,42498.00,131762.92,42933.00,144327.50,44106.00,160592.83,46300.00,175038.83,48477.00,180936.42,48437.00,179743.17,51402.00,173547.42,48172.00,172663.25,48314.00,165300.25,49910.00,161605.50,51904.00,163286.92,53952.00,166190.50,55173.00,168720.17,60389.00,172854.08,60979.00,179466.83,63173.00,189277.92,63173.00,197445.67,70582.00,206959.80,70117.00
42,Rhode Island,RI,151552.33,42197.00,167871.25,45723.00,195377.83,42417.00,234613.42,44711.00,276505.75,47935.00,314090.75,49484.00,327749.08,53736.00,313092.42,54210.00,289741.00,53241.00,255127.92,51634.00,251173.33,51623.00,238065.33,49033.00,225003.42,56065.00,232438.00,57812.00,242730.00,58633.00,246830.67,55701.00,259252.08,61528.00,274961.58,66390.00,294113.00,66390.00,302629.42,70151.00,319715.42,80012.00
23,South Carolina,SC,125804.25,37570.00,131546.17,37736.00,135081.33,37812.00,139262.83,38479.00,145668.08,38691.00,156392.33,40230.00,170051.08,39617.00,176731.33,44213.00,174206.00,42155.00,164262.50,41101.00,158645.33,41698.00,150072.67,40084.00,147229.42,44401.00,149641.75,43749.00,155123.00,44929.00,160409.75,46360.00,167487.92,54336.00,175827.83,54971.00,186089.92,54971.00,195225.25,62028.00,204840.83,60097.00
45,South Dakota,SD,115283.42,36475.00,117191.17,39671.00,120688.42,37873.00,125625.58,39522.00,132892.42,41107.00,142214.67,43151.00,148912.67,45427.00,153511.17,46418.00,157588.25,51600.00,157106.58,45826.00,155983.42,45352.00,155326.17,47223.00,156524.92,49415.00,161847.92,54453.00,167396.42,53053.00,174426.92,55065.00,183273.33,57450.00,193987.08,56894.00,203420.17,56894.00,213246.92,64255.00,221643.92,69787.00
16,Tennessee,TN,115592.42,34096.00,119505.58,35783.00,122323.08,37030.00,125319.58,37523.00,129685.75,38072.00,137122.92,39406.00,146431.92,40693.00,152629.67,41195.00,150550.00,39702.00,144528.67,40517.00,141423.83,38591.00,136410.33,42279.00,134757.08,42995.00,138018.50,42499.00,143614.92,43716.00,149165.00,47330.00,157779.75,51344.00,169021.42,55240.00,181729.00,55240.00,192795.08,56627.00,206241.17,54665.00
1,Texas,TX,115486.50,38609.00,117017.50,40860.00,119713.00,40149.00,123280.75,39271.00,130863.00,41397.00,136393.42,41422.00,141107.42,43307.00,146515.58,46053.00,146113.83,46490.00,142695.33,47475.00,141916.67,47266.00,137394.50,49047.00,138078.33,51926.00,145782.83,53027.00,157042.42,53875.00,169239.50,56473.00,181008.83,58146.00,192894.83,59295.00,204280.17,59295.00,214064.00,67444.00,222479.25,68093.00
33,Utah,UT,184213.08,47550.00,189955.08,47342.00,191196.25,47861.00,191223.83,49275.00,194052.58,50871.00,199129.92,54813.00,220998.00,54628.00,255252.50,53529.00,258210.58,62537.00,233774.08,58491.00,219522.08,56701.00,203002.83,55493.00,204713.92,58341.00,227338.17,62967.00,241173.17,63383.00,253595.75,66258.00,274004.08,67481.00,298568.33,71319.00,327432.08,71319.00,353006.75,84523.00,379497.08,83670.00
48,Vermont,VT,130625.08,39594.00,141208.50,40794.00,153341.58,42999.00,165671.73,43261.00,184663.58,47329.00,207235.50,50704.00,227145.50,51981.00,237486.67,47390.00,238284.08,50706.00,232469.67,52318.00,229221.75,55928.00,228836.08,51862.00,228057.00,55582.00,228138.58,54842.00,228344.92,60708.00,230268.83,59494.00,232349.67,60837.00,239348.25,63805.00,249590.17,63805.00,257780.25,74305.00,266787.33,66902.00
11,Virginia,VA,139729.92,47163.00,151469.00,50241.00,165995.75,49631.00,184091.42,54783.00,213888.08,51141.00,259482.83,51914.00,290125.83,57119.00,288529.92,59161.00,268095.67,61985.00,246992.75,60501.00,242445.92,60367.00,234321.17,62616.00,233170.17,64632.00,241964.42,67620.00,249371.42,66155.00,252191.42,61486.00,256546.42,66451.00,265470.08,71293.00,274899.92,71293.00,285608.50,81313.00,298237.42,81947.00
12,Washington,WA,179606.08,42525.00,188802.00,42490.00,196842.58,45183.00,206249.08,47508.00,224387.33,49922.00,257862.67,50646.00,301116.83,54723.00,321395.75,58080.00,306075.75,56631.00,273602.42,60392.00,257982.08,56163.00,234233.25,56850.00,225901.83,62187.00,246829.33,60106.00,265904.25,59068.00,286327.83,67243.00,316218.08,70310.00,351542.33,75418.00,388630.50,75418.00,405174.25,82454.00,438538.58,81083.00
36,West Virginia,WV,69740.17,29411.00,73644.42,29673.00,76084.50,29359.00,79216.50,32763.00,84158.25,33373.00,90870.58,36445.00,95029.08,38419.00,97233.67,42091.00,97989.50,37994.00,95376.17,40490.00,93407.25,42777.00,92060.75,41821.00,92224.00,43553.00,93926.33,40241.00,96202.50,39552.00,98644.08,42824.00,101045.17,44354.00,103094.67,45392.00,106796.58,45392.00,110180.50,53706.00,113007.75,51615.00
19,Wisconsin,WI,121000.92,45088.00,127737.25,45346.00,134758.42,45903.00,143043.50,46269.00,154837.42,45732.00,166423.00,44650.00,173335.08,51692.00,174956.08,51277.00,170799.00,51200.00,161311.67,51237.00,157191.75,50351.00,146517.83,52058.00,142350.25,53079.00,145022.25,55258.00,151256.33,58080.00,155267.17,55425.00,162098.67,59817.00,172845.42,63451.00,184842.42,63451.00,194918.83,67355.00,206652.00,67094.00
50,Wyoming,WY,,39629.00,,39719.00,144591.22,39763.00,149626.92,42555.00,159879.50,45397.00,173462.00,44718.00,189454.75,47041.00,204358.92,48744.00,207966.00,53337.00,204223.17,52470.00,201025.58,52201.00,199124.50,54509.00,202674.58,57512.00,209674.25,55700.00,216853.08,55690.00,225163.17,60925.00,229972.83,57829.00,231480.92,57837.00,239582.00,57837.00,251059.75,65134.00,262022.25,65108.00
