SizeRank,RegionName,StateName,Year,Average House Price,Median Income,Ratio
33,Utah,UT,2008,258210.58,62537,4.13
48,Vermont,VT,2008,238284.08,50706,4.70
11,Virginia,VA,2008,268095.67,61985,4.33
12,Washington,WA,2008,306075.75,56631,5.40
36,West Virginia,WV,2008,97989.5,37994,2.58
19,Wisconsin,WI,2008,170799,51200,3.34
50,Wyoming,WY,2008,207966,53337,3.90
22,Alabama,AL,2009,132370.33,39980,3.31
46,Alaska,AK,2009,239287.67,61604,3.88
15,Arizona,AZ,2009,175837.08,45739,3.84
31,Arkansas,AR,2009,108670.17,36538,2.97
0,California,CA,2009,333510.25,56134,5.94
21,Colorado,CO,2009,238108.25,55930,4.26
28,Connecticut,CT,2009,282713.42,64851,4.36
44,Delaware,DE,2009,254126.25,52114,4.88
49,District of Columbia,DC,2009,428320.67,53141,8.06
3,Florida,FL,2009,173159,45631,3.79
8,Georgia,GA,2009,153815,43340,3.55
39,Hawaii,HI,2009,491091.75,55649,8.82
38,Idaho,ID,2009,180232.5,46778,3.85
4,Illinois,IL,2009,198749.92,52870,3.76
14,Indiana,IN,2009,121290.08,44305,2.74
29,Iowa,IA,2009,124936.08,50721,2.46
32,Kansas,KS,2009,127441.25,44717,2.85
25,Kentucky,KY,2009,117244.92,42664,2.75
24,Louisiana,LA,2009,155211,45433,3.42
40,Maine,ME,2009,199502.17,47502,4.20
18,Maryland,MD,2009,294867.67,64186,4.59
13,Massachusetts,MA,2009,327105.75,59373,5.51
7,Michigan,MI,2009,112816.08,45994,2.45
20,Minnesota,MN,2009,191948.08,56090,3.42
30,Mississippi,MS,2009,112711.08,35078,3.21
17,Missouri,MO,2009,137901.5,48769,2.83
43,Montana,MT,2009,216098.83,40437,5.34
37,Nebraska,NE,2009,129900.83,49595,2.62
34,Nevada,NV,2009,183827.08,51434,3.57
41,New Hampshire,NH,2009,232624.25,64131,3.63
10,New Jersey,NJ,2009,338827.42,64777,5.23
35,New Mexico,NM,2009,185889.75,43542,4.27
2,New York,NY,2009,258844.25,50216,5.15
9,North Carolina,NC,2009,170846.92,41906,4.08
47,North Dakota,ND,2009,167975.5,50075,3.35
6,Ohio,OH,2009,125184,45879,2.73
27,Oklahoma,OK,2009,107951.58,45878,2.35
26,Oregon,OR,2009,253967.67,49098,5.17
5,Pennsylvania,PA,2009,173547.42,48172,3.60
42,Rhode Island,RI,2009,255127.92,51634,4.94
23,South Carolina,SC,2009,164262.5,41101,4.00
45,South Dakota,SD,2009,157106.58,45826,3.43
16,Tennessee,TN,2009,144528.67,40517,3.57
1,Texas,TX,2009,142695.33,47475,3.01
33,Utah,UT,2009,233774.08,58491,4.00
48,Vermont,VT,2009,232469.67,52318,4.44
11,Virginia,VA,2009,246992.75,60501,4.08
12,Washington,WA,2009,273602.42,60392,4.53
36,West Virginia,WV,2009,95376.17,40490,2.36
19,Wisconsin,WI,2009,161311.67,51237,3.15
50,Wyoming,WY,2009,204223.17,52470,3.89
22,Alabama,AL,2010,126989.75,40933,3.10
46,Alaska,AK,2010,240032.83,57848,4.15
15,Arizona,AZ,2010,158891.58,46896,3.39
31,Arkansas,AR,2010,107048.33,38587,2.77
0,California,CA,2010,330661.92,54283,6.09
21,Colorado,CO,2010,236130.67,60233,3.92
28,Connecticut,CT,2010,271251.33,65998,4.11
44,Delaware,DE,2010,245521.25,55214,4.45
49,District of Columbia,DC,2010,427800.83,56928,7.51
3,Florida,FL,2010,156990.25,44066,3.56
8,Georgia,GA,2010,143086.92,44117,3.24
39,Hawaii,HI,2010,483500.75,59539,8.12
38,Idaho,ID,2010,163501.75,47050,3.48
4,Illinois,IL,2010,185622.58,50728,3.66
14,Indiana,IN,2010,119746,46139,2.60
29,Iowa,IA,2010,124349.25,49016,2.54
32,Kansas,KS,2010,126855.5,46054,2.75
25,Kentucky,KY,2010,116313.83,41104,2.83
24,Louisiana,LA,2010,154509.58,39300,3.93
40,Maine,ME,2010,193897.5,47931,4.05
18,Maryland,MD,2010,278846.42,64201,4.34
13,Massachusetts,MA,2010,328520.08,60934,5.39
7,Michigan,MI,2010,104353.83,46276,2.26
20,Minnesota,MN,2010,186363.33,52321,3.56
30,Mississippi,MS,2010,109721.83,38160,2.88
17,Missouri,MO,2010,134729.42,45817,2.94
43,Montana,MT,2010,209666.75,41280,5.08
37,Nebraska,NE,2010,131288.67,52504,2.50
34,Nevada,NV,2010,157244.33,51200,3.07
41,New Hampshire,NH,2010,225753.83,66633,3.39
10,New Jersey,NJ,2010,326745.83,62968,5.19
35,New Mexico,NM,2010,179679.42,45134,3.98
2,New York,NY,2010,254776.92,49781,5.12
9,North Carolina,NC,2010,164942.75,43830,3.76
47,North Dakota,ND,2010,168544.92,51006,3.30
6,Ohio,OH,2010,121995,45886,2.66
27,Oklahoma,OK,2010,108858.5,43103,2.53
26,Oregon,OR,2010,239057.83,50602,4.72
5,Pennsylvania,PA,2010,172663.25,48314,3.57
42,Rhode Island,RI,2010,251173.33,51623,4.87
23,South Carolina,SC,2010,158645.33,41698,3.80
45,South Dakota,SD,2010,155983.42,45352,3.44
16,Tennessee,TN,2010,141423.83,38591,3.66
1,Texas,TX,2010,141916.67,47266,3.00
33,Utah,UT,2010,219522.08,56701,3.87
48,Vermont,VT,2010,229221.75,55928,4.10
11,Virginia,VA,2010,242445.92,60367,4.02
12,Washington,WA,2010,257982.08,56163,4.59
36,West Virginia,WV,2010,93407.25,42777,2.18
19,Wisconsin,WI,2010,157191.75,50351,3.12
50,Wyoming,WY,2010,201025.58,52201,3.85
22,Alabama,AL,2011,121019.25,42590,2.84
46,Alaska,AK,2011,237051.08,57431,4.13
15,Arizona,AZ,2011,140843.25,48621,2.90
31,Arkansas,AR,2011,104010.5,41302,2.52
0,California,CA,2011,312302.42,53367,5.85
21,Colorado,CO,2011,227008.75,58629,3.87
28,Connecticut,CT,2011,255717.67,65415,3.91
44,Delaware,DE,2011,229646.92,54660,4.20
49,District of Columbia,DC,2011,423699.42,55251,7.67
3,Florida,FL,2011,142541.75,45105,3.16
8,Georgia,GA,2011,129445.75,45973,2.82
39,Hawaii,HI,2011,482555.75,59047,8.17
38,Idaho,ID,2011,147370.5,47459,3.11
4,Illinois,IL,2011,169315.42,50637,3.34
14,Indiana,IN,2011,116256.92,44445,2.62
29,Iowa,IA,2011,121388.33,50219,2.42
32,Kansas,KS,2011,122733.75,46147,2.66
25,Kentucky,KY,2011,112732.25,39856,2.83
24,Louisiana,LA,2011,150027.42,40658,3.69
40,Maine,ME,2011,189687.83,49693,3.82
18,Maryland,MD,2011,262651,68876,3.81
13,Massachusetts,MA,2011,316036.25,63313,4.99
7,Michigan,MI,2011,97816.75,48879,2.00
20,Minnesota,MN,2011,170751.42,57820,2.95
30,Mississippi,MS,2011,107349.75,41090,2.61
17,Missouri,MO,2011,126809,45774,2.77
43,Montana,MT,2011,202895.83,40277,5.04
37,Nebraska,NE,2011,127302.58,55616,2.29
34,Nevada,NV,2011,141608.17,47043,3.01
41,New Hampshire,NH,2011,218613.75,65880,3.32
10,New Jersey,NJ,2011,305741.75,62338,4.90
35,New Mexico,NM,2011,169593.67,41982,4.04
2,New York,NY,2011,248178.17,50636,4.90
9,North Carolina,NC,2011,157296.58,45206,3.48
47,North Dakota,ND,2011,170622.17,56361,3.03
6,Ohio,OH,2011,115976.5,44648,2.60
27,Oklahoma,OK,2011,106100.33,48455,2.19
26,Oregon,OR,2011,219014.17,51526,4.25
5,Pennsylvania,PA,2011,165300.25,49910,3.31
42,Rhode Island,RI,2011,238065.33,49033,4.86
23,South Carolina,SC,2011,150072.67,40084,3.74
45,South Dakota,SD,2011,155326.17,47223,3.29
16,Tennessee,TN,2011,136410.33,42279,3.23
1,Texas,TX,2011,137394.5,49047,2.80
33,Utah,UT,2011,203002.83,55493,3.66
48,Vermont,VT,2011,228836.08,51862,4.41
11,Virginia,VA,2011,234321.17,62616,3.74
12,Washington,WA,2011,234233.25,56850,4.12
36,West Virginia,WV,2011,92060.75,41821,2.20
19,Wisconsin,WI,2011,146517.83,52058,2.81
50,Wyoming,WY,2011,199124.5,54509,3.65
22,Alabama,AL,2012,118921.67,43464,2.74
46,Alaska,AK,2012,240389.42,63648,3.78
15,Arizona,AZ,2012,150278.5,47044,3.19
31,Arkansas,AR,2012,104882.92,39018,2.69
0,California,CA,2012,310043.5,57020,5.44
21,Colorado,CO,2012,231041.5,57255,4.04
28,Connecticut,CT,2012,240683.5,64247,3.75
44,Delaware,DE,2012,217454.58,48972,4.44
49,District of Columbia,DC,2012,433393.92,65246,6.64
3,Florida,FL,2012,142134.92,46071,3.09
8,Georgia,GA,2012,125422.67,48121,2.61
39,Hawaii,HI,2012,480758.58,56263,8.54
38,Idaho,ID,2012,152180.67,47922,3.18
4,Illinois,IL,2012,158638.17,51738,3.07
14,Indiana,IN,2012,115587.25,46158,2.50
29,Iowa,IA,2012,121741.58,53442,2.28
32,Kansas,KS,2012,121742.33,50003,2.43
25,Kentucky,KY,2012,112036.08,41086,2.73
24,Louisiana,LA,2012,149259.42,39085,3.82
40,Maine,ME,2012,186799.08,49158,3.80
18,Maryland,MD,2012,256455.5,71836,3.57
13,Massachusetts,MA,2012,308652.42,63656,4.85
7,Michigan,MI,2012,98776.17,50015,1.97
20,Minnesota,MN,2012,167876,61795,2.72
30,Mississippi,MS,2012,106158.42,36641,2.90
17,Missouri,MO,2012,123931.58,49764,2.49
